nom_parking;idsurfs;Ident;Etat;Etat_descriptif;Total;Libre;InfoUsager;realtimestatus
Parking Gare Wodli;1382_DEP_8;10;0;frequentation temps reel indisponible;955;0;OUVERT;
Parking Zénith;1400_DEP_26;1;2;Fermé;3175;3173;FERME;
Parking Centre Opéra Broglie;1378_DEP_4;3;1;Ouvert;460;117;110;GREEN
Parking Baggersee;1376_DEP_2;4;1;Ouvert;460;381;380;GREEN
Parking Bateliers;1377_DEP_3;2;1;Ouvert;267;148;140;GREEN
Parking Austerlitz;1375_DEP_1;21;1;Ouvert;464;270;270;GREEN
Parking Gutenberg;1383_DEP_9;11;1;Ouvert;233;147;140;GREEN
Parking Kleber Homme de fer;1388_DEP_14;12;0;frequentation temps reel indisponible;467;0;OUVERT;
Parking Halles P1 Marais vert;1384_DEP_10;13;1;Ouvert;534;442;440;GREEN
Parking P2 Sebastopol;1385_DEP_11;14;1;Ouvert;496;293;290;GREEN
Parking Robertsau Boecklin;1393_DEP_19;15;1;Ouvert;92;56;50;GREEN
Parking Krimmeri Stade de la Meinau;1389_DEP_15;16;1;Ouvert;190;158;150;GREEN
Parking Centre historique Petite France;1390_DEP_16;17;1;Ouvert;939;517;510;GREEN
Parking Rives de l'Aar;1391_DEP_17;18;1;Ouvert;456;347;340;GREEN
Parking Saint Nicolas;1395_DEP_21;19;1;Ouvert;360;301;301;GREEN
Parking Tanneurs;1397_DEP_23;20;0;frequentation temps reel indisponible;180;0;OUVERT;
Parking Ducs d'Alsace;1379_DEP_5;5;1;Ouvert;600;502;500;GREEN
Parking Elsau;1380_DEP_6;6;1;Ouvert;220;179;170;GREEN
Parking Rotonde;1394_DEP_20;7;1;Ouvert;450;178;170;GREEN
Parking Gare courte durée;1381_DEP_7;8;0;frequentation temps reel indisponible;188;0;OUVERT;
Parking Sainte Aurélie Gare;1396_DEP_22;9;1;Ouvert;557;280;280;GREEN
Parking P3 Wilson;1386_DEP_12;22;1;Ouvert;1211;921;920;GREEN
Parking Hoenheim gare;1387_DEP_13;24;1;Ouvert;340;224;220;GREEN
Parking Poteries;1398_DEP_24;25;1;Ouvert;107;55;50;GREEN
Parking Espace européen de l'entreprise;1399_DEP_25;26;1;Ouvert;170;163;160;GREEN
Parking Rivetoile;1392_DEP_18;23;1;Ouvert;1132;993;990;GREEN
P1 Esplanade - Centre commercial;1703_DEP_27;27;1;Ouvert;251;206;200;GREEN
Parking Hôpital Hautepierre;1706_DEP_28;28;0;frequentation temps reel indisponible;800;0;OUVERT;
Parking Coubertin;2413_DEP_59;30;1;Ouvert;719;511;510;GREEN
Parking Parc des romains;2356_DEP_38;31;1;Ouvert;324;263;260;GREEN
